PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
7329.00,PT,Piedmont Airlines,11057,CLT,10868,CAE,2026,1
7331.00,OO,SkyWest Airlines Inc.,11292,DEN,11122,CPR,2026,2
7331.00,WN,Southwest Airlines Co.,12889,LAS,14262,PSP,2026,2
7332.00,DL,Delta Air Lines Inc.,10397,ATL,12986,LIM,2026,1
7332.00,WN,Southwest Airlines Co.,14730,SDF,13204,MCO,2026,1
7333.00,F9,Frontier Airlines Inc.,11042,CLE,11697,FLL,2026,1
7333.00,UA,United Air Lines Inc.,11292,DEN,11066,CMH,2026,1
7333.00,VS,Virgin Atlantic Airways,12972,LHR,12889,LAS,2026,1
7334.00,UA,United Air Lines Inc.,14832,SJD,14771,SFO,2026,1
7334.00,WN,Southwest Airlines Co.,13204,MCO,14635,RSW,2026,1
7335.00,YX,Republic Airline,11066,CMH,11618,EWR,2026,1
7339.00,DL,Delta Air Lines Inc.,15304,TPA,12892,LAX,2026,2
7340.00,B6,JetBlue Airways,10721,BOS,14293,PUJ,2026,2
7342.00,AA,American Airlines Inc.,14107,PHX,13830,OGG,2026,2
7342.00,UA,United Air Lines Inc.,12266,IAH,16271,YYZ,2026,1
7342.00,VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",12889,LAS,13514,MTY,2026,2
7344.00,AA,American Airlines Inc.,11292,DEN,13930,ORD,2026,1
7345.00,WN,Southwest Airlines Co.,13158,MAF,11259,DAL,2026,2
7346.00,AS,Alaska Airlines Inc.,12173,HNL,15092,SYD,2026,1
7346.00,DL,Delta Air Lines Inc.,10397,ATL,10980,CHA,2026,1
7346.00,EY,Etihad Airways,12264,IAD,10415,AUH,2026,2
7346.00,QX,Horizon Air,10713,BOI,14747,SEA,2026,1
7348.00,AA,American Airlines Inc.,13930,ORD,14832,SJD,2026,2
7348.00,UA,United Air Lines Inc.,13930,ORD,10821,BWI,2026,2
7349.00,AA,American Airlines Inc.,13303,MIA,10575,BGI,2026,2
7349.00,B6,JetBlue Airways,13204,MCO,11278,DCA,2026,1
7349.00,WN,Southwest Airlines Co.,13204,MCO,10599,BHM,2026,2
7351.00,WN,Southwest Airlines Co.,11259,DAL,15370,TUL,2026,2
7352.00,AC,Air Canada,13303,MIA,16217,YUL,2026,1
7353.00,NK,Spirit Air Lines,11052,CLO,11697,FLL,2026,1
7354.00,F9,Frontier Airlines Inc.,12892,LAX,10397,ATL,2026,1
7355.00,DL,Delta Air Lines Inc.,16217,YUL,10397,ATL,2026,1
7355.00,UA,United Air Lines Inc.,11760,FRA,11618,EWR,2026,2
7356.00,NK,Spirit Air Lines,11433,DTW,12889,LAS,2026,1
7356.00,WN,Southwest Airlines Co.,11292,DEN,14492,RDU,2026,1
7357.00,UA,United Air Lines Inc.,11697,FLL,14771,SFO,2026,2
7358.00,B6,JetBlue Airways,10792,BUF,11697,FLL,2026,2
7358.00,YV,Mesa Airlines Inc.,12266,IAH,11540,ELP,2026,1
7359.00,AS,Alaska Airlines Inc.,14893,SMF,12173,HNL,2026,1
7360.00,OO,SkyWest Airlines Inc.,11292,DEN,11122,CPR,2026,1
7360.00,WN,Southwest Airlines Co.,10994,CHS,10821,BWI,2026,2
7364.00,WN,Southwest Airlines Co.,11292,DEN,14492,RDU,2026,2
7365.00,MQ,Envoy Air,11298,DFW,10136,ABI,2026,2
7365.00,OO,SkyWest Airlines Inc.,14771,SFO,10713,BOI,2026,2
7366.00,AA,American Airlines Inc.,14210,POS,13303,MIA,2026,1
7366.00,AA,American Airlines Inc.,15016,STL,13303,MIA,2026,1
7367.00,WN,Southwest Airlines Co.,10423,AUS,12892,LAX,2026,2
7370.00,WN,Southwest Airlines Co.,11259,DAL,13158,MAF,2026,1
7371.00,UA,United Air Lines Inc.,11292,DEN,10397,ATL,2026,1
7373.00,F9,Frontier Airlines Inc.,14107,PHX,11298,DFW,2026,1
7375.00,B6,JetBlue Airways,15304,TPA,12953,LGA,2026,1
7375.00,OZ,Asiana Airlines Inc.,12478,JFK,12277,ICN,2026,2
7377.00,UA,United Air Lines Inc.,11003,CID,11292,DEN,2026,2
7377.00,UA,United Air Lines Inc.,11760,FRA,11292,DEN,2026,1
7380.00,YV,Mesa Airlines Inc.,12266,IAH,13514,MTY,2026,1
7381.00,AA,American Airlines Inc.,14027,PBI,12953,LGA,2026,1
7382.00,B6,JetBlue Airways,14027,PBI,11618,EWR,2026,2
7382.00,UA,United Air Lines Inc.,14771,SFO,14492,RDU,2026,2
7385.00,UA,United Air Lines Inc.,11292,DEN,13486,MSO,2026,1
7387.00,OH,PSA Airlines Inc.,11057,CLT,14685,SAV,2026,2
7388.00,WN,Southwest Airlines Co.,11433,DTW,13232,MDW,2026,1
7390.00,AA,American Airlines Inc.,12953,LGA,11697,FLL,2026,2
7390.00,WN,Southwest Airlines Co.,12992,LIT,11259,DAL,2026,2
